ideCadastro	condicao	matricula	idParlamentar	nome	nomeParlamentar	urlFoto	sexo	uf	partido	gabinete	fone	email	none
141478	Titular	412	5830785	LAERTE RODRIGUES DE BESSA	LAERTE BESSA	http://www.camara.gov.br/internet/deputado/bandep/141478.jpg	masculino	DF	PR	340	3215-5340	dep.laertebessa@camara.gov.br	
178826	Titular	368	5830405	SERGIO OLIMPIO GOMES	MAJOR OLIMPIO	http://www.camara.gov.br/internet/deputado/bandep/178826.jpg	masculino	SP	PDT	279	3215-5279	dep.majorolimpio@camara.gov.br	
160510	Titular	251	5830737	LUIS HENRIQUE DE OLIVEIRA RESENDE	LUIS TIBÉ	http://www.camara.gov.br/internet/deputado/bandep/160510.jpg	masculino	MG	PTdoB	632	3215-5632	dep.luistibe@camara.gov.br	
178927	Titular	441	5830336	ALIEL MACHADO BARK	ALIEL MACHADO	http://www.camara.gov.br/internet/deputado/bandep/178927.jpg	masculino	PR	REDE	480	3215-5480	dep.alielmachado@camara.gov.br	
73531	Titular	359	5830668	IVAN VALENTE	IVAN VALENTE	http://www.camara.gov.br/internet/deputado/bandep/73531.jpg	masculino	SP	PSOL	716	3215-5716	dep.ivanvalente@camara.gov.br	
74812	Titular	428	5830691	PEDRO PINHEIRO CHAVES	PEDRO CHAVES	http://www.camara.gov.br/internet/deputado/bandep/74812.jpg	masculino	GO	PMDB	406	3215-5406	dep.pedrochaves@camara.gov.br	
159237	Titular	111	5830359	FRANCISCO DE ASSIS CARVALHO GONÇALVES	ASSIS CARVALHO	http://www.camara.gov.br/internet/deputado/bandep/159237.jpg	masculino	PI	PT	909	3215-5909	dep.assiscarvalho@camara.gov.br	
178915	Titular	141	5830545	HEBERTE LAMARCK GOMES DA SILVA	BETINHO GOMES	http://www.camara.gov.br/internet/deputado/bandep/178915.jpg	masculino	PE	PSDB	269	3215-5269	dep.betinhogomes@camara.gov.br	
178993	Titular	60	5830622	CARLOS HENRIQUE AMORIM	CARLOS HENRIQUE GAGUIM	http://www.camara.gov.br/internet/deputado/bandep/178993.jpg	masculino	TO	PMDB	222	3215-5222	dep.carloshenriquegaguim@camara.gov.br	
178802	Titular	318	5830522	LUIZ CARLOS RAMOS	LUIZ CARLOS RAMOS 	http://www.camara.gov.br/internet/deputado/bandep/178802.jpg	masculino	RJ	PSDC	636	3215-5636	dep.luizcarlosramos@camara.gov.br	
114941	Titular	62	5830528	JOSINIANE BRAGA NUNES	JOSI NUNES	http://www.camara.gov.br/internet/deputado/bandep/114941.jpg	feminino	TO	PMDB	950	3215-5950	dep.josinunes@camara.gov.br	
141454	Titular	451	5830645	JACOB ALFREDO STOFFELS KAEFER	ALFREDO KAEFER	http://www.camara.gov.br/internet/deputado/bandep/141454.jpg	masculino	PR	PSDB	818	3215-5818	dep.alfredokaefer@camara.gov.br	
141472	Titular	384	5830307	JOSÉ RICARDO ALVARENGA TRIPOLI	RICARDO TRIPOLI	http://www.camara.gov.br/internet/deputado/bandep/141472.jpg	masculino	SP	PSDB	241	3215-5241	dep.ricardotripoli@camara.gov.br	
141429	Titular	120	5830330	FELIPE CATALÃO MAIA	FELIPE MAIA	http://www.camara.gov.br/internet/deputado/bandep/141429.jpg	masculino	RN	DEM	528	3215-5528	dep.felipemaia@camara.gov.br	
160663	Titular	456	5830499	LEOPOLDO COSTA MEYER	LEOPOLDO MEYER	http://www.camara.gov.br/internet/deputado/bandep/160663.jpg	masculino	PR	PSB	233	3215-5233	dep.leopoldomeyer@camara.gov.br	
178919	Titular	152	5830476	MARINALDO ROSENDO DE ALBUQUERQUE	MARINALDO ROSENDO	http://www.camara.gov.br/internet/deputado/bandep/178919.jpg	masculino	PE	PSB	827	3215-5827	dep.marinaldorosendo@camara.gov.br	
73553	Titular	381	5830353	NELSON MARQUEZELLI	NELSON MARQUEZELLI	http://www.camara.gov.br/internet/deputado/bandep/73553.jpg	masculino	SP	PTB	920	3215-5920	dep.nelsonmarquezelli@camara.gov.br	
160758	Titular	233	5830599	DOMINGOS SÁVIO CAMPOS RESENDE	DOMINGOS SÁVIO	http://www.camara.gov.br/internet/deputado/bandep/160758.jpg	masculino	MG	PSDB	345	3215-5345	dep.domingossavio@camara.gov.br	
178998	Titular	258	5830376	TANIA RAQUEL DE QUEIROZ MUNIZ	RAQUEL MUNIZ	http://www.camara.gov.br/internet/deputado/bandep/178998.jpg	feminino	MG	PSC	444	3215-5444	dep.raquelmuniz@camara.gov.br	
178905	Titular	403	5830459	FABIO PAULINO GARCIA	FABIO GARCIA	http://www.camara.gov.br/internet/deputado/bandep/178905.jpg	masculino	MT	PSB	278	3215-5278	dep.fabiogarcia@camara.gov.br	
137070	Titular	66	5830708	VICENTE ALVES DE OLIVEIRA JUNIOR	VICENTINHO JÚNIOR	http://www.camara.gov.br/internet/deputado/bandep/137070.jpg	masculino	TO	PSB	817	3215-5817	dep.vicentinhojunior@camara.gov.br	
178882	Titular	72	5830768	ANDRE LUIS CARVALHO RIBEIRO	ANDRÉ FUFUCA	http://www.camara.gov.br/internet/deputado/bandep/178882.jpg	masculino	MA	PEN	945	3215-5945	dep.andrefufuca@camara.gov.br	
178825	Titular	57	5830505	LEONARDO CUNHA DE BRITO	LEO DE BRITO	http://www.camara.gov.br/internet/deputado/bandep/178825.jpg	masculino	AC	PT	619	3215-5619	dep.leodebrito@camara.gov.br	
160551	Titular	142	5830422	ANDERSON FERREIRA RODRIGUES	ANDERSON FERREIRA	http://www.camara.gov.br/internet/deputado/bandep/160551.jpg	masculino	PE	PR	450	3215-5450	dep.andersonferreira@camara.gov.br	
160527	Titular	129	5830568	AGUINALDO VELLOSO BORGES RIBEIRO	AGUINALDO RIBEIRO	http://www.camara.gov.br/internet/deputado/bandep/160527.jpg	masculino	PB	PP	735	3215-5735	dep.aguinaldoribeiro@camara.gov.br	
178930	Titular	452	5830516	EVANDRO ROGERIO ROMAN	EVANDRO ROMAN	http://www.camara.gov.br/internet/deputado/bandep/178930.jpg	masculino	PR	PSD	303	3215-5303	dep.evandroroman@camara.gov.br	
141413	Titular	475	5830313	DÉCIO NERY DE LIMA	DÉCIO LIMA	http://www.camara.gov.br/internet/deputado/bandep/141413.jpg	masculino	SC	PT	218	3215-5218	dep.deciolima@camara.gov.br	
160508	Titular	182	5830319	AFONSO BANDEIRA FLORENCE	AFONSO FLORENCE	http://www.camara.gov.br/internet/deputado/bandep/160508.jpg	masculino	BA	PT	305	3215-5305	dep.afonsoflorence@camara.gov.br	
178945	Titular	325	5830662	ROSANGELA DE SOUZA GOMES	ROSANGELA GOMES	http://www.camara.gov.br/internet/deputado/bandep/178945.jpg	feminino	RJ	PRB	438	3215-5438	dep.rosangelagomes@camara.gov.br	
141405	Titular	472	5830413	CELSO MALDANER	CELSO MALDANER	http://www.camara.gov.br/internet/deputado/bandep/141405.jpg	masculino	SC	PMDB	311	3215-5311	dep.celsomaldaner@camara.gov.br	
74235	Titular	281	5830562	MARCUS ANTÔNIO VICENTE	MARCUS VICENTE	http://www.camara.gov.br/internet/deputado/bandep/74235.jpg	masculino	ES	PP	360	3215-5360	dep.marcusvicente@camara.gov.br	
178968	Titular	175	5830370	ADELSON BARRETO DOS SANTOS	ADELSON BARRETO	http://www.camara.gov.br/internet/deputado/bandep/178968.jpg	masculino	SE	PTB	937	3215-5937	dep.adelsonbarreto@camara.gov.br	
141555	Titular	397	5830631	VINICIUS RAPOZO DE CARVALHO	VINICIUS CARVALHO	http://www.camara.gov.br/internet/deputado/bandep/141555.jpg	masculino	SP	PRB	356	3215-5356	dep.viniciuscarvalho@camara.gov.br	
160530	Titular	191	5830702	ANTONIO JOSÉ IMBASSAHY DA SILVA	ANTONIO IMBASSAHY	http://www.camara.gov.br/internet/deputado/bandep/160530.jpg	masculino	BA	PSDB	810	3215-5810	dep.antonioimbassahy@camara.gov.br	
178878	Titular	429	5830559	GIUSEPPE VECCI	GIUSEPPE VECCI	http://www.camara.gov.br/internet/deputado/bandep/178878.jpg	masculino	GO	PSDB	383	3215-5383	dep.giuseppevecci@camara.gov.br	
160672	Titular	307	5830725	JEAN WYLLYS DE MATOS SANTOS	JEAN WYLLYS	http://www.camara.gov.br/internet/deputado/bandep/160672.jpg	masculino	RJ	PSOL	646	3215-5646	dep.jeanwyllys@camara.gov.br	
141529	Titular	211	5830608	ROBERTO PEREIRA DE BRITTO	ROBERTO BRITTO	http://www.camara.gov.br/internet/deputado/bandep/141529.jpg	masculino	BA	PP	733	3215-5733	dep.robertobritto@camara.gov.br	
178952	Titular	125	5830419	WALTER PEREIRA ALVES	WALTER ALVES	http://www.camara.gov.br/internet/deputado/bandep/178952.jpg	masculino	RN	PMDB	435	3215-5435	dep.walteralves@camara.gov.br	
178937	Titular	286	5830582	ALTINEU CÔRTES FREITAS COUTINHO	ALTINEU CÔRTES	http://www.camara.gov.br/internet/deputado/bandep/178937.jpg	masculino	RJ	PR	578	3215-5578	dep.altineucortes@camara.gov.br	
178970	Titular	179	5830751	JOAO SOMARIVA DANIEL	JOÃO DANIEL	http://www.camara.gov.br/internet/deputado/bandep/178970.jpg	masculino	SE	PT	605	3215-5605	dep.joaodaniel@camara.gov.br	
178971	Titular	181	5830396	JONY MARCOS DE SOUZA ARAUJO	JONY MARCOS	http://www.camara.gov.br/internet/deputado/bandep/178971.jpg	masculino	SE	PRB	807	3215-5807	dep.jonymarcos@camara.gov.br	
160535	Titular	507	5830794	DIONILSO MATEUS MARCON	MARCON	http://www.camara.gov.br/internet/deputado/bandep/160535.jpg	masculino	RS	PT	569	3215-5569	dep.marcon@camara.gov.br	
73768	Titular	444	5830651	DILCEU JOÃO SPERAFICO	DILCEU SPERAFICO	http://www.camara.gov.br/internet/deputado/bandep/73768.jpg	masculino	PR	PP	746	3215-5746	dep.dilceusperafico@camara.gov.br	
178904	Titular	402	5830745	EZEQUIEL ANGELO FONSECA	EZEQUIEL FONSECA	http://www.camara.gov.br/internet/deputado/bandep/178904.jpg	masculino	MT	PP	658	3215-5658	dep.ezequielfonseca@camara.gov.br	
74385	Titular	469	5830674	HIDEKAZU TAKAYAMA	TAKAYAMA	http://www.camara.gov.br/internet/deputado/bandep/74385.jpg	masculino	PR	PSC	910	3215-5910	dep.takayama@camara.gov.br	
141383	Titular	333	5830625	ANTONIO CARLOS MARTINS DE BULHÕES	ANTONIO BULHÕES	http://www.camara.gov.br/internet/deputado/bandep/141383.jpg	masculino	SP	PRB	327	3215-5327	dep.antoniobulhoes@camara.gov.br	
141389	Titular	315	5830731	ANTONIO PEDRO DE SIQUEIRA INDIO DA COSTA	INDIO DA COSTA	http://www.camara.gov.br/internet/deputado/bandep/141389.jpg	masculino	RJ	PSD	509	3215-5509	dep.indiodacosta@camara.gov.br	
74283	Titular	396	5830496	VICENTE PAULO DA SILVA	VICENTINHO	http://www.camara.gov.br/internet/deputado/bandep/74283.jpg	masculino	SP	PT	740	3215-5740	dep.vicentinho@camara.gov.br	
73655	Titular	411	5830433	AUGUSTO SILVEIRA DE CARVALHO	AUGUSTO CARVALHO	http://www.camara.gov.br/internet/deputado/bandep/73655.jpg	masculino	DF	SD	215	3215-5215	dep.augustocarvalho@camara.gov.br	
178880	Titular	432	5830445	MARCOS ABRAO RORIZ SOARES DE CARVALHO	MARCOS ABRÃO	http://www.camara.gov.br/internet/deputado/bandep/178880.jpg	masculino	GO	PPS	375	3215-5375	dep.marcosabrao@camara.gov.br	
160591	Titular	16	5830482	VINICIUS DE AZEVEDO GURGEL	VINICIUS GURGEL	http://www.camara.gov.br/internet/deputado/bandep/160591.jpg	masculino	AP	PR	852	3215-5852	dep.viniciusgurgel@camara.gov.br	
93083	Titular	193	5830296	CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO	CACÁ LEÃO	http://www.camara.gov.br/internet/deputado/bandep/93083.jpg	masculino	BA	PP	320	3215-5320	dep.cacaleao@camara.gov.br	
178966	Titular	482	5830539	GEOVANIA DE SA RODRIGUES	GEOVANIA DE SÁ	http://www.camara.gov.br/internet/deputado/bandep/178966.jpg	feminino	SC	PSDB	606	3215-5606	dep.geovaniadesa@camara.gov.br	
141480	Titular	63	5830290	LÁZARO BOTELHO MARTINS	LÁZARO BOTELHO	http://www.camara.gov.br/internet/deputado/bandep/141480.jpg	masculino	TO	PP	478	3215-5478	dep.lazarobotelho@camara.gov.br	
160600	Titular	192	5830788	ARTHUR DE OLIVEIRA MAIA DA SILVA	ARTHUR OLIVEIRA MAIA	http://www.camara.gov.br/internet/deputado/bandep/160600.jpg	masculino	BA	SD	830	3215-5830	dep.arthuroliveiramaia@camara.gov.br	
178874	Titular	283	5830682	ANTONIO SERGIO ALVES VIDIGAL	SERGIO VIDIGAL	http://www.camara.gov.br/internet/deputado/bandep/178874.jpg	masculino	ES	PDT	812	3215-5812	dep.sergiovidigal@camara.gov.br	
178840	Titular	59	5830688	WHERLES FERNANDES DA ROCHA	ROCHA	http://www.camara.gov.br/internet/deputado/bandep/178840.jpg	masculino	AC	PSDB	607	3215-5607	dep.rocha@camara.gov.br	
74254	Titular	312	5830339	LEONARDO CARNEIRO MONTEIRO PICCIANI	LEONARDO PICCIANI	http://www.camara.gov.br/internet/deputado/bandep/74254.jpg	masculino	RJ	PMDB	302	3215-5302	dep.leonardopicciani@camara.gov.br	
74655	Titular	230	5830588	EDUARDO LUIZ BARROS BARBOSA	EDUARDO BARBOSA	http://www.camara.gov.br/internet/deputado/bandep/74655.jpg	masculino	MG	PSDB	540	3215-1540	dep.eduardobarbosa@camara.gov.br	
74273	Titular	349	5830439	JEFFERSON ALVES DE CAMPOS	JEFFERSON CAMPOS	http://www.camara.gov.br/internet/deputado/bandep/74273.jpg	masculino	SP	PSD	346	3215-5346	dep.jeffersoncampos@camara.gov.br	
160637	Titular	414	5830488	RONALDO FONSECA DE SOUZA	RONALDO FONSECA	http://www.camara.gov.br/internet/deputado/bandep/160637.jpg	masculino	DF	PROS	223	3215-5223	dep.ronaldofonseca@camara.gov.br	
62881	Titular	95	5830390	FRANCISCO DANILO BASTOS FORTE	DANILO FORTE	http://www.camara.gov.br/internet/deputado/bandep/62881.jpg	masculino	CE	PSB	384	3215-5384	dep.daniloforte@camara.gov.br	
178835	Titular	490	5830619	AFONSO ANTUNES DA MOTTA	AFONSO MOTTA	http://www.camara.gov.br/internet/deputado/bandep/178835.jpg	masculino	RS	PDT	711	3215-5711	dep.afonsomotta@camara.gov.br	
160569	Titular	219	5830548	WALDENOR ALVES PEREIRA FILHO	WALDENOR PEREIRA	http://www.camara.gov.br/internet/deputado/bandep/160569.jpg	masculino	BA	PT	954	3215-5954	dep.waldenorpereira@camara.gov.br	
74090	Titular	38	5830571	ÁTILA SIDNEY LINS ALBUQUERQUE	ÁTILA LINS	http://www.camara.gov.br/internet/deputado/bandep/74090.jpg	masculino	AM	PSD	730	3215-5730	dep.atilalins@camara.gov.br	
178960	Titular	7	5830333	REMIDIO MONAI MONTESSI	REMÍDIO MONAI	http://www.camara.gov.br/internet/deputado/bandep/178960.jpg	masculino	RR	PR	641	3215-5641	dep.remidiomonai@camara.gov.br	
160589	Titular	335	5830665	BRUNA DIAS FURLAN	BRUNA FURLAN	http://www.camara.gov.br/internet/deputado/bandep/160589.jpg	feminino	SP	PSDB	836	3215-5836	dep.brunafurlan@camara.gov.br	
163831	Titular	310	5830642	FERNANDO ANTÔNIO CECILIANO JORDÃO	FERNANDO JORDÃO	http://www.camara.gov.br/internet/deputado/bandep/163831.jpg	masculino	RJ	PMDB	626	3215-5626	dep.fernandojordao@camara.gov.br	
178870	Titular	415	5830310	RONEY TANIOS NEMER	RONEY NEMER	http://www.camara.gov.br/internet/deputado/bandep/178870.jpg	masculino	DF	PMDB	572	3215-5572	dep.roneynemer@camara.gov.br	
74457	Titular	105	5830717	MORONI BING TORGAN	MORONI TORGAN	http://www.camara.gov.br/internet/deputado/bandep/74457.jpg	masculino	CE	DEM	445	3215-5445	dep.moronitorgan@camara.gov.br	
178958	Titular	3	5830456	CARLOS AUGUSTO ANDRADE SILVA	CARLOS ANDRADE	http://www.camara.gov.br/internet/deputado/bandep/178958.jpg	masculino	RR	PHS	758	3215-5758	dep.carlosandrade@camara.gov.br	
160601	Titular	379	5830379	MARCO ANTÔNIO FELICIANO	PR. MARCO FELICIANO	http://www.camara.gov.br/internet/deputado/bandep/160601.jpg	masculino	SP	PSC	254	3215-5254	dep.pr.marcofeliciano@camara.gov.br	
74317	Titular	114	5830694	JÚLIO CÉSAR DE CARVALHO LIMA	JÚLIO CESAR	http://www.camara.gov.br/internet/deputado/bandep/74317.jpg	masculino	PI	PSD	944	3215-5944	dep.juliocesar@camara.gov.br	
160655	Titular	383	5830479	RICARDO IZAR JUNIOR	RICARDO IZAR	http://www.camara.gov.br/internet/deputado/bandep/160655.jpg	masculino	SP	PSD	634	3215-5634	dep.ricardoizar@camara.gov.br	
178922	Titular	161	5830425	FRANCISCO TADEU BARBOSA DE ALENCAR	TADEU ALENCAR	http://www.camara.gov.br/internet/deputado/bandep/178922.jpg	masculino	PE	PSB	820	3215-5820	dep.tadeualencar@camara.gov.br	
178910	Titular	33	5830502	JOAQUIM PASSARINHO PINTO DE SOUZA PORTO	JOAQUIM PASSARINHO	http://www.camara.gov.br/internet/deputado/bandep/178910.jpg	masculino	PA	PSD	339	3215-5339	dep.joaquimpassarinho@camara.gov.br	
74156	Titular	253	5830402	JOSÉ LEONARDO COSTA MONTEIRO	LEONARDO MONTEIRO	http://www.camara.gov.br/internet/deputado/bandep/74156.jpg	masculino	MG	PT	922	3215-5922	dep.leonardomonteiro@camara.gov.br	
141552	Titular	404	5830648	VALTENIR LUIZ PEREIRA	VALTENIR PEREIRA	http://www.camara.gov.br/internet/deputado/bandep/141552.jpg	masculino	MT	PMB	913	3215-5913	dep.valtenirpereira@camara.gov.br	
160576	Titular	64	5830525	CESAR HANNA HALUM	CÉSAR HALUM	http://www.camara.gov.br/internet/deputado/bandep/160576.jpg	masculino	TO	PRB	422	3215-5422	dep.cesarhalum@camara.gov.br	
178881	Titular	68	5830565	ALUISIO GUIMARAES MENDES FILHO	ALUISIO MENDES	http://www.camara.gov.br/internet/deputado/bandep/178881.jpg	masculino	MA	PSDC	931	3215-5931	dep.aluisiomendes@camara.gov.br	
73674	Titular	427	5830602	ROBERTO EGÍDIO BALESTRA	ROBERTO BALESTRA	http://www.camara.gov.br/internet/deputado/bandep/73674.jpg	masculino	GO	PP	219	3215-5219	dep.robertobalestra@camara.gov.br	
160578	Titular	446	5830508	EDMAR DE SOUZA ARRUDA	EDMAR ARRUDA	http://www.camara.gov.br/internet/deputado/bandep/160578.jpg	masculino	PR	PSC	962	3215-5962	dep.edmararruda@camara.gov.br	
64960	Titular	6	5830765	MARIA HELENA VERONESE RODRIGUES	MARIA HELENA	http://www.camara.gov.br/internet/deputado/bandep/64960.jpg	feminino	RR	PSB	410	3215-5410	dep.mariahelena@camara.gov.br	
141422	Titular	128	5830519	EFRAIM DE ARAÚJO MORAIS FILHO	EFRAIM FILHO	http://www.camara.gov.br/internet/deputado/bandep/141422.jpg	masculino	PB	DEM	744	3215-5744	dep.efraimfilho@camara.gov.br	
178892	Titular	227	5830705	DAMINA DE CARVALHO PEREIRA	DÂMINA PEREIRA	http://www.camara.gov.br/internet/deputado/bandep/178892.jpg	feminino	MG	PMN	434	3215-5434	dep.daminapereira@camara.gov.br	
74262	Titular	338	5830711	CARLOS HENRIQUE FOCESI SAMPAIO	CARLOS SAMPAIO	http://www.camara.gov.br/internet/deputado/bandep/74262.jpg	masculino	SP	PSDB	207	3215-5207	dep.carlossampaio@camara.gov.br	
74366	Titular	418	5830462	JOÃO CAMPOS DE ARAÚJO	JOÃO CAMPOS	http://www.camara.gov.br/internet/deputado/bandep/74366.jpg	masculino	GO	PSDB	315	3215-5315	dep.joaocampos@camara.gov.br	
151208	Titular	176	5830362	LAERCIO JOSÉ DE OLIVEIRA	LAERCIO OLIVEIRA	http://www.camara.gov.br/internet/deputado/bandep/151208.jpg	masculino	SE	SD	629	3215-5629	dep.laerciooliveira@camara.gov.br	
178938	Titular	289	5830757	BENEVENUTO DACIOLO FONSECA DOS SANTOS	CABO DACIOLO	http://www.camara.gov.br/internet/deputado/bandep/178938.jpg	masculino	RJ	S.PART.	803	3215-5803	dep.cabodaciolo@camara.gov.br	
74570	Titular	206	5830416	JUTAHY MAGALHÃES JÚNIOR	JUTAHY JUNIOR	http://www.camara.gov.br/internet/deputado/bandep/74570.jpg	masculino	BA	PSDB	407	3215-5407	dep.jutahyjunior@camara.gov.br	
73778	Titular	454	5830316	LUIZ CARLOS JORGE HAULY	LUIZ CARLOS HAULY	http://www.camara.gov.br/internet/deputado/bandep/73778.jpg	masculino	PR	PSDB	220	3215-5220	dep.luizcarloshauly@camara.gov.br	
129037	Titular	244	5830611	GABRIEL GUIMARÃES DE ANDRADE	GABRIEL GUIMARÃES	http://www.camara.gov.br/internet/deputado/bandep/129037.jpg	masculino	MG	PT	821	3215-5821	dep.gabrielguimaraes@camara.gov.br	
178909	Titular	32	5830299	HELIO LEITE DA SILVA	HÉLIO LEITE	http://www.camara.gov.br/internet/deputado/bandep/178909.jpg	masculino	PA	DEM	403	3215-5403	dep.helioleite@camara.gov.br	
178841	Titular	165	5830797	JOSÉ CÍCERO SOARES DE ALMEIDA	CÍCERO ALMEIDA	http://www.camara.gov.br/internet/deputado/bandep/178841.jpg	masculino	AL	PSD	760	3215-5760	dep.ciceroalmeida@camara.gov.br	
69871	Titular	184	5830536	JOAO CARLOS BACELAR BATISTA	BACELAR	http://www.camara.gov.br/internet/deputado/bandep/69871.jpg	masculino	BA	PTN	381	3215-5381	dep.bacelar@camara.gov.br	
160512	Titular	290	5830465	AUREO LIDIO MOREIRA RIBEIRO	AUREO	http://www.camara.gov.br/internet/deputado/bandep/160512.jpg	masculino	RJ	SD	212	3215-5212	dep.aureo@camara.gov.br	
171619	Titular	237	5830442	MARIA MARGARIDA MARTINS SALOMÃO	MARGARIDA SALOMÃO	http://www.camara.gov.br/internet/deputado/bandep/171619.jpg	feminino	MG	PT	236	3215-5236	dep.margaridasalomao@camara.gov.br	
141558	Titular	84	5830393	WALDIR MARANHÃO CARDOSO	WALDIR MARANHÃO	http://www.camara.gov.br/internet/deputado/bandep/141558.jpg	masculino	MA	PP	575	3215-5575	dep.waldirmaranhao@camara.gov.br	
178867	Titular	104	5830605	JOSE MARIA MACEDO JUNIOR	MACEDO	http://www.camara.gov.br/internet/deputado/bandep/178867.jpg	masculino	CE	PSL	214	3215-5214	dep.macedo@camara.gov.br	
178849	Titular	42	5830728	HISSA NAGIB ABRAHAO FILHO	HISSA ABRAHÃO	http://www.camara.gov.br/internet/deputado/bandep/178849.jpg	masculino	AM	PPS	272	3215-5272	dep.hissaabrahao@camara.gov.br	
178875	Titular	416	5830373	ALEXANDRE BALDY DE SANT'ANNA BRAGA	ALEXANDRE BALDY	http://www.camara.gov.br/internet/deputado/bandep/178875.jpg	masculino	GO	PSDB	441	3215-5441	dep.alexandrebaldy@camara.gov.br	
178903	Titular	401	5830628	ADILTON DOMINGOS SACHETTI	ADILTON SACHETTI	http://www.camara.gov.br/internet/deputado/bandep/178903.jpg	masculino	MT	PSB	374	3215-5374	dep.adiltonsachetti@camara.gov.br	
164359	Titular	421	5830350	WALDIR SOARES DE OLIVEIRA	DELEGADO WALDIR	http://www.camara.gov.br/internet/deputado/bandep/164359.jpg	masculino	GO	PSDB	645	3215-5645	dep.delegadowaldir@camara.gov.br	
178916	Titular	144	5830748	DANIEL PIRES COELHO	DANIEL COELHO	http://www.camara.gov.br/internet/deputado/bandep/178916.jpg	masculino	PE	PSDB	813	3215-5813	dep.danielcoelho@camara.gov.br	
178846	Titular	36	5830771	ALFREDO PEREIRA DO NASCIMENTO	ALFREDO NASCIMENTO	http://www.camara.gov.br/internet/deputado/bandep/178846.jpg	masculino	AM	PR	401	3215-5401	dep.alfredonascimento@camara.gov.br	
141401	Titular	400	5830791	CARLOS GOMES BEZERRA	CARLOS BEZERRA	http://www.camara.gov.br/internet/deputado/bandep/141401.jpg	masculino	MT	PMDB	815	3215-5815	dep.carlosbezerra@camara.gov.br	
73463	Titular	463	5830293	OSMAR JOSÉ SERRAGLIO	OSMAR SERRAGLIO	http://www.camara.gov.br/internet/deputado/bandep/73463.jpg	masculino	PR	PMDB	845	3215-5845	dep.osmarserraglio@camara.gov.br	
141507	Titular	480	5830542	MAURO MARIANI	MAURO MARIANI	http://www.camara.gov.br/internet/deputado/bandep/141507.jpg	masculino	SC	PMDB	925	3215-5925	dep.mauromariani@camara.gov.br	
178936	Titular	285	5830436	ALEXANDRE VALLE CARDOSO	ALEXANDRE VALLE	http://www.camara.gov.br/internet/deputado/bandep/178936.jpg	masculino	RJ	PRP	587	3215-5587	dep.alexandrevalle@camara.gov.br	
141411	Titular	434	5830399	DAGOBERTO NOGUEIRA FILHO	DAGOBERTO	http://www.camara.gov.br/internet/deputado/bandep/141411.jpg	masculino	MS	PDT	654	3215-5654	dep.dagoberto@camara.gov.br	
178972	Titular	331	5830591	ALEX SPINELLI MANENTE	ALEX MANENTE	http://www.camara.gov.br/internet/deputado/bandep/178972.jpg	masculino	SP	PPS	245	3215-5245	dep.alexmanente@camara.gov.br	
